"Date","Price","Open","High","Low","Vol.","Change %"
"15-12-2023","63,198.00","63,198.00","63,198.00","63,198.00","","1.91%"
"14-12-2023","62,015.00","62,015.00","62,015.00","62,015.00","","0.07%"
"13-12-2023","61,969.00","61,969.00","61,969.00","61,969.00","","0.00%"
"12-12-2023","61,969.00","61,969.00","61,969.00","61,969.00","","0.13%"
"11-12-2023","61,891.00","61,891.00","61,891.00","61,891.00","","-0.92%"
"08-12-2023","62,463.00","62,463.00","62,463.00","62,463.00","","-1.14%"
"07-12-2023","63,183.00","63,183.00","63,183.00","63,183.00","","0.01%"
"06-12-2023","63,174.00","63,174.00","63,174.00","63,174.00","","1.06%"
"05-12-2023","62,514.00","63,068.00","63,089.00","62,357.00","0.23K","-0.42%"
"04-12-2023","62,775.00","64,072.00","64,450.00","62,651.00","0.44K","-1.51%"
"01-12-2023","63,737.00","63,040.00","63,769.00","62,970.00","0.25K","1.11%"
"30-11-2023","63,040.00","63,093.00","63,205.00","62,925.00","0.05K","-0.18%"
"29-11-2023","63,156.00","63,174.00","63,272.00","62,970.00","0.06K","0.17%"
"28-11-2023","63,050.00","62,524.00","63,125.00","62,282.00","0.13K","1.22%"
"27-11-2023","62,288.00","62,275.00","62,300.00","62,275.00","0.00K","0.68%"
"24-11-2023","61,865.00","61,829.00","61,973.00","61,767.00","0.02K","0.13%"
"23-11-2023","61,787.00","61,764.00","61,810.00","61,764.00","0.00K","-0.17%"
"22-11-2023","61,895.00","61,958.00","61,960.00","61,703.00","0.00K","0.00%"
"21-11-2023","61,894.00","61,678.00","62,041.00","61,678.00","0.02K","0.91%"
"20-11-2023","61,333.00","61,333.00","61,333.00","61,333.00","0.00K","-0.39%"
"17-11-2023","61,572.00","61,622.00","61,622.00","61,521.00","0.00K","-0.12%"
"16-11-2023","61,647.00","61,647.00","61,647.00","61,647.00","0.00K","1.08%"
"15-11-2023","60,988.00","60,988.00","60,988.00","60,988.00","","0.32%"
"14-11-2023","60,793.00","60,793.00","60,793.00","60,793.00","","0.39%"
